iter	Passed	Remaining
0	138	138072
1	140	70062
2	142	47398
3	144	35969
4	146	29134
5	148	24571
6	150	21283
7	151	18833
8	153	16902
9	155	15374
10	157	14119
11	158	13073
12	160	12175
13	161	11391
14	163	10710
15	164	10107
16	165	9578
17	166	9098
18	167	8671
19	168	8279
20	170	7928
21	171	7603
22	171	7291
23	172	7004
24	172	6741
25	173	6498
26	174	6275
27	174	6065
28	175	5869
29	175	5686
30	176	5516
31	177	5356
32	177	5206
33	178	5064
34	178	4930
35	179	4803
36	179	4683
37	180	4570
38	181	4463
39	181	4361
40	182	4265
41	182	4173
42	183	4084
43	184	3999
44	184	3918
45	185	3840
46	185	3766
47	186	3694
48	186	3625
49	187	3560
50	187	3497
51	188	3435
52	189	3377
53	189	3321
54	190	3267
55	190	3215
56	191	3165
57	191	3117
58	192	3070
59	193	3024
60	193	2980
61	194	2937
62	194	2895
63	195	2854
64	195	2816
65	196	2778
66	196	2740
67	197	2701
68	197	2666
69	198	2633
70	198	2600
71	199	2568
72	199	2538
73	200	2508
74	201	2480
75	201	2452
76	202	2425
77	202	2398
78	203	2372
79	204	2347
80	204	2322
81	205	2298
82	205	2274
83	206	2251
84	206	2226
85	207	2204
86	207	2181
87	208	2160
88	209	2139
89	209	2119
90	210	2100
91	210	2081
92	211	2062
93	212	2044
94	212	2026
95	213	2008
96	213	1990
97	214	1973
98	215	1957
99	215	1940
100	216	1924
101	216	1906
102	217	1891
103	217	1876
104	218	1861
105	218	1846
106	219	1832
107	220	1818
108	220	1804
109	221	1790
110	221	1777
111	222	1763
112	223	1750
113	223	1737
114	224	1725
115	224	1712
116	225	1700
117	225	1688
118	226	1675
119	226	1664
120	227	1653
121	228	1642
122	228	1629
123	229	1618
124	229	1607
125	230	1597
126	230	1586
127	231	1575
128	231	1565
129	232	1556
130	233	1547
131	233	1537
132	234	1527
133	234	1518
134	235	1509
135	236	1499
136	236	1491
137	237	1481
138	237	1473
139	238	1464
140	239	1456
141	239	1447
142	240	1439
143	240	1431
144	241	1423
145	241	1415
146	242	1407
147	243	1399
148	243	1391
149	244	1384
150	244	1377
151	245	1370
152	246	1363
153	246	1356
154	247	1349
155	248	1342
156	248	1335
157	249	1328
158	249	1321
159	250	1314
160	250	1307
161	251	1301
162	252	1294
163	252	1288
164	253	1282
165	253	1275
166	254	1269
167	255	1263
168	255	1257
169	256	1251
170	256	1245
171	257	1239
172	258	1233
173	258	1227
174	259	1222
175	259	1216
176	260	1211
177	261	1206
178	261	1201
179	262	1196
180	263	1190
181	263	1184
182	264	1179
183	264	1174
184	265	1168
185	265	1163
186	266	1158
187	266	1153
188	267	1147
189	268	1142
190	268	1137
191	269	1132
192	269	1127
193	270	1122
194	270	1117
195	271	1112
196	271	1108
197	272	1103
198	273	1098
199	273	1094
200	274	1090
201	275	1087
202	275	1082
203	276	1078
204	277	1074
205	277	1070
206	278	1065
207	278	1061
208	279	1057
209	280	1053
210	280	1049
211	281	1045
212	281	1041
213	282	1037
214	283	1033
215	283	1029
216	284	1025
217	284	1021
218	285	1017
219	286	1014
220	286	1010
221	287	1006
222	287	1002
223	288	998
224	288	995
225	289	991
226	290	987
227	290	984
228	291	980
229	291	977
230	292	973
231	292	969
232	293	966
233	294	962
234	294	959
235	295	955
236	295	952
237	296	948
238	296	945
239	297	942
240	298	938
241	298	935
242	299	932
243	299	929
244	300	925
245	301	922
246	301	919
